"Renewable quarterly electricity capacity and generation, quarterly data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This worksheet contains 4 tables, arranged vertically on top of each other and separated by a blank row",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] is used to indicate data not available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units are specified in the table header or in the row label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUMULATIVE INSTALLED CAPACITY (MW) 
[note 1]","2010 
1st quarter","2010 
2nd quarter","2010 
3rd quarter","2010 
4th quarter","2011 
1st quarter","2011 
2nd quarter","2011 
3rd quarter","2011 
4th quarter","2012 
1st quarter","2012 
2nd quarter","2012 
3rd quarter","2012 
4th quarter","2013 
1st quarter","2013 
2nd quarter","2013 
3rd quarter","2013 
4th quarter","2014 
1st quarter","2014 
2nd quarter","2014 
3rd quarter","2014 
4th quarter","2015 
1st quarter","2015 
2nd quarter","2015 
3rd quarter","2015 
4th quarter","2016 
1st quarter","2016 
2nd quarter","2016 
3rd quarter","2016 
4th quarter","2017 
1st quarter","2017 
2nd quarter","2017 
3rd quarter","2017 
4th quarter","2018 
1st quarter","2018 
2nd quarter","2018 
3rd quarter","2018 
4th quarter","2019 
1st quarter","2019 
2nd quarter","2019 
3rd quarter","2019 
4th quarter","2020 
1st quarter","2020 
2nd quarter","2020 
3rd quarter","2020 
4th quarter","2021 
1st quarter","2021 
2nd quarter","2021 
3rd quarter","2021
4th quarter","2022
1st quarter",,,
Onshore Wind,"3,913","3,920","4,035","4,080","4,176","4,345","4,524","4,758","5,102","5,429","5,765","6,035","6,737","7,072","7,424","7,586","7,668","7,998","8,281","8,573","8,689","8,792","9,003","9,212","9,392","9,546","10,183","10,833","11,965","12,314","12,567","12,597","13,045","13,142","13,288","13,425","13,664","13,873","13,960","13,998","13,973","13,975","13,978","14,075","14,115","14,211","14,346","14,492","14,581",,,
Offshore Wind,951,"1,041","1,341","1,341","1,427","1,564","1,650","1,838","2,200","2,516","2,682","2,995","3,381","3,543","3,656","3,696","3,764","4,085","4,426","4,501","4,739","5,014","5,094","5,094","5,087","5,087","5,087","5,293","5,448","5,646","6,131","6,988","7,640","7,794","8,010","8,181","8,479","9,156","9,702","9,888","10,114","10,383","10,383","10,383","10,392","10,665","11,067","11,255","12,667",,,
Shoreline wave / tidal,4,4,4,4,3,3,4,4,5,7,7,9,7,7,8,8,7,8,8,9,9,9,9,9,8,8,8,13,18,18,18,18,18,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,,,
Solar photovoltaics,35,48,67,95,137,214,492,"1,000","1,310","1,428","1,657","1,754","2,287","2,535","2,677","2,937","4,984","5,152","5,317","5,528","7,917","8,239","8,630","9,601","10,956","11,440","11,725","11,914","12,215","12,390","12,532","12,760","13,006","13,023","13,043","13,059","13,188","13,221","13,282","13,345","13,417","13,450","13,538","13,579","13,777","13,829","13,894","13,965","14,086",,,
Small scale Hydro,182,185,186,188,191,195,198,202,204,210,211,216,217,222,225,232,240,242,246,253,261,267,272,300,307,311,343,359,360,365,396,396,400,401,403,404,400,401,406,407,408,412,415,415,417,419,421,421,420,,,
Large scale Hydro,"1,459","1,459","1,459","1,459","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,473","1,473","1,473","1,473","1,473","1,473","1,473","1,473","1,477","1,477","1,477","1,473","1,473","1,473","1,473","1,473","1,471","1,471","1,471","1,471","1,471","1,471","1,471","1,471","1,471",,,
Landfill gas ,"1,011","1,019","1,021","1,021","1,053","1,053","1,053","1,053","1,039","1,039","1,041","1,042","1,050","1,050","1,050","1,050","1,053","1,054","1,057","1,058","1,061","1,061","1,061","1,061","1,062","1,062","1,062","1,062","1,066","1,066","1,066","1,066","1,063","1,063","1,063","1,063","1,055","1,055","1,055","1,055","1,055","1,055","1,055","1,055","1,055","1,055","1,056","1,056","1,056",,,
Sewage sludge digestion,184,186,186,193,194,198,199,199,206,206,212,212,197,199,201,201,215,224,225,230,231,231,231,231,257,257,257,257,245,245,245,245,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,257,257,,,
Energy from waste,413,413,413,413,422,422,422,502,499,499,499,513,538,545,545,545,595,621,629,680,830,839,907,930,939,939,988,"1,028","1,077","1,077","1,077","1,091","1,137","1,137","1,137","1,137","1,149","1,149","1,138","1,310","1,350","1,350","1,400","1,435","1,442","1,442","1,451","1,451","1,451",,,
Animal Biomass (non-AD) [note 2],111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,,,
